virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-03-05,111.0,36.0,3355.5,4627.0,2.394060142673044e-05,1.6250481307658173e-05
2020-03-06,266.0,30.0,1515.0,5373.0,5.697294192208286e-05,1.3625432323613099e-05
2020-03-07,62.0,28.0,5242.5,5303.0,1.4763433831837344e-05,1.3872539110651334e-05
2020-03-08,49.0,29.0,7036.5,5524.0,1.0741039671262809e-05,1.3363901337542194e-05
2020-03-09,71.0,43.0,5020.5,3868.0,1.5399307291441868e-05,1.9652111916492235e-05
2020-03-10,81.0,63.0,4568.5,2879.0,1.7334338296946202e-05,2.732459669112145e-05
2020-03-11,709.0,90.0,631.0,2191.0,0.0001441864295962475,3.773980501100745e-05
2020-03-12,506.0,142.0,949.5,1551.0,9.617263329793066e-05,5.651426388181355e-05
2020-03-13,284.0,165.0,1723.5,1388.5,5.173996586255351e-05,6.369198094799144e-05
2020-03-14,200.0,104.0,2270.0,1924.5,3.753529725515632e-05,4.355418936858989e-05
2020-03-15,167.0,96.0,2885.0,2148.0,2.9163831051656482e-05,3.884404963783993e-05
2020-03-16,184.0,122.0,2528.0,1792.0,3.3936104954044236e-05,4.759903818730378e-05
2020-03-17,297.0,89.0,1685.5,2461.0,5.250149284547838e-05,3.266150932871424e-05
2020-03-18,208.0,105.0,2423.0,2183.0,3.580611881812953e-05,3.7827941230510506e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
