وائرس,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-03-02,1624.0,363.0,231.0,143.0,0.0005163694521682588,0.0007991299830047287
2020-03-03,1280.0,297.0,314.0,215.0,0.0003677764608698775,0.0005506750868657502
2020-03-04,888.0,258.0,552.0,400.0,0.0002110402071996557,0.00030585934026851607
2020-03-05,1474.0,368.0,413.0,284.0,0.0003026976853073541,0.0004497424979773808
2020-03-06,1140.0,243.0,461.0,360.5,0.0002595539769816605,0.00035132462395253214
2020-03-07,539.0,149.0,864.0,485.5,0.00013892461522520996,0.00024882434671084284
2020-03-08,456.0,142.0,1095.5,553.0,0.0001037188908720325,0.00021430565721659208
2020-03-09,1006.0,251.0,392.5,241.5,0.00031278332386070384,0.0005089977003848915
2020-03-10,2636.0,434.0,137.0,125.0,0.0008469495358163905,0.0009329521270878564
2020-03-11,3789.0,491.0,95.0,117.5,0.0011867932370639071,0.0010081638687210487
2020-03-12,3792.0,647.0,105.0,91.0,0.001122596940923336,0.001226898468936903
2020-03-13,10293.0,1439.0,34.0,38.0,0.002932057619076919,0.002684646397182148
2020-03-14,12663.0,1563.0,29.0,36.0,0.0038199648139701572,0.0031101135400374885
2020-03-15,11581.0,1580.0,33.0,37.0,0.003370521311758815,0.0030285953068273736
2020-03-16,12412.0,1716.0,30.0,36.0,0.003650396052678403,0.003232143630737008
2020-03-17,14930.0,1972.0,30.0,37.0,0.003737320208739221,0.003047965266797427
2020-03-18,13876.0,1828.0,32.0,38.0,0.0036175407449120186,0.002976360080954389
2020-03-19,,,,,,
2020-03-20,,,,,,
