바이러스,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-02-27,2367.0,287.0,1556.5,2534.0,5.499800977839984e-05,2.9523292437572637e-05
2020-02-28,2082.0,286.0,1603.5,2450.5,5.443984096872586e-05,3.0459682403494725e-05
2020-02-29,2209.0,279.0,1318.0,2416.0,6.55581590200548e-05,3.032503876496443e-05
2020-03-01,1701.0,195.0,1678.5,3581.0,4.734211460443285e-05,2.0784113178129655e-05
2020-03-02,1376.0,195.0,2279.0,3379.0,4.055381420411489e-05,2.1777336671929334e-05
2020-03-03,1415.0,166.0,2134.0,3671.5,4.33816894565142e-05,1.9150524274443166e-05
2020-03-04,1391.0,164.0,2190.5,3689.0,4.2319885457016274e-05,1.942119394631911e-05
2020-03-05,1559.0,169.0,1969.5,3738.0,4.3717075314762234e-05,1.8959959818347878e-05
2020-03-06,1694.0,572.0,1951.5,1121.5,4.508117059034298e-05,6.620035537554408e-05
2020-03-07,893.0,193.0,3279.0,3147.0,2.8747842181493144e-05,2.265345692339528e-05
2020-03-08,1482.0,123.0,2526.0,5267.0,3.258064209058856e-05,1.2941414008354685e-05
2020-03-09,2495.0,134.0,1206.5,4781.5,7.204734113835607e-05,1.4801396191401935e-05
2020-03-10,1330.0,135.0,2163.5,4575.0,4.154722490309422e-05,1.5530420815733627e-05
2020-03-11,1772.0,147.0,1562.0,3988.0,5.9443885676391906e-05,1.7868184579076015e-05
2020-03-12,2056.0,185.0,1682.0,3332.5,5.758771342606001e-05,2.3122855355165813e-05
2020-03-13,3384.0,170.0,745.5,3520.5,0.00010817955734996656,2.1879585060104508e-05
2020-03-14,1827.0,148.0,1515.0,3815.5,6.157594791571315e-05,2.0007881483043666e-05
2020-03-15,1904.0,129.0,1451.5,4554.0,6.359048369747402e-05,1.675648924272359e-05
2020-03-16,1620.0,151.0,1698.5,3830.5,5.484047970795617e-05,2.020291486585332e-05
2020-03-17,1845.0,171.0,1411.0,3644.5,6.214018475405218e-05,2.233517230605821e-05
2020-03-18,2046.0,124.0,1240.0,4525.5,7.1201685036945e-05,1.7154412260092433e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
