вирус,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-02-28,277.0,127.0,1235.0,1365.5,6.356444631695665e-05,5.8463218349532715e-05
2020-02-29,183.0,110.0,1924.5,1497.0,4.355301186926671e-05,5.390788025393552e-05
2020-03-01,190.0,114.0,1857.0,1470.5,4.5011995696853215e-05,5.39764293455642e-05
2020-03-02,229.0,122.0,1509.5,1417.5,5.388383633149431e-05,5.651717102837162e-05
2020-03-03,214.0,112.0,1595.5,1496.5,5.097536841613814e-05,5.2394425233155186e-05
2020-03-04,274.0,94.0,1201.5,1926.0,6.413233168305708e-05,4.199799660620445e-05
2020-03-05,197.0,101.0,1737.0,1705.0,4.6074467097334295e-05,4.480409961947568e-05
2020-03-06,168.0,100.0,1877.5,1677.0,4.2588293390753166e-05,4.746507994068764e-05
2020-03-07,162.0,95.0,1833.0,1562.0,4.407462868485661e-05,5.029536615555986e-05
2020-03-08,172.0,67.0,1866.5,2386.0,4.342312579351344e-05,3.287427112343651e-05
2020-03-09,231.0,87.0,1413.5,1851.5,5.637132646855847e-05,4.233267644697468e-05
2020-03-10,299.0,135.0,1203.5,1323.0,6.564095538983593e-05,6.048579502304957e-05
2020-03-11,390.0,206.0,877.0,846.5,8.738410962538208e-05,9.172653381458594e-05
2020-03-12,588.0,307.0,588.0,582.5,0.00012873949366406828,0.00013523627362835395
2020-03-13,896.0,365.0,342.0,475.5,0.00020826408629943081,0.00016507874482263307
2020-03-14,720.0,306.0,423.0,535.0,0.00017063811069483842,0.00014607795024947822
2020-03-15,971.0,367.0,338.0,466.5,0.00022262349987069039,0.00016991228451927786
2020-03-16,1215.0,560.0,287.0,327.0,0.0002603579611250207,0.00024036800341322565
2020-03-17,1110.0,565.0,295.0,324.5,0.00024307850384523922,0.0002405306489261477
2020-03-18,1196.0,508.0,287.0,364.0,0.00025937974409021903,0.000216250271377063
2020-03-19,,,,,,
2020-03-20,,,,,,
