virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-03-01,6941.0,763.0,199.0,599.0,0.0005058168574234836,0.00018249999641218882
2020-03-02,48235.0,3810.0,28.0,112.0,0.002891744789538712,0.0009157388101404252
2020-03-03,22964.0,2162.0,58.0,221.0,0.0015708401073703823,0.00048812724181241063
2020-03-04,13542.0,2373.0,94.0,177.0,0.0010319679939036009,0.0005879158395874233
2020-03-05,8430.0,1261.0,145.5,338.0,0.0006677791037422168,0.0003172440373970592
2020-03-06,5232.0,789.0,253.0,545.5,0.0004055237418184113,0.00019808164578984867
2020-03-07,3547.0,573.0,418.0,824.5,0.00026416303364917214,0.00013463342701282259
2020-03-08,5067.0,721.0,282.0,658.5,0.0003689037239909952,0.00016621838421437146
2020-03-09,7628.0,1378.0,172.0,343.0,0.0005555183737265153,0.0003218822214731882
2020-03-10,5040.0,757.0,271.0,593.0,0.0003900292127237125,0.00018306934991033959
2020-03-11,9780.0,1060.0,116.0,429.0,0.0007446510186909693,0.0002528495065975831
2020-03-12,12125.0,1353.0,110.0,331.5,0.0008571446951438531,0.0003186074523060186
2020-03-13,15239.0,2128.0,99.0,218.0,0.0010610837188717906,0.0004901168219240677
2020-03-14,34891.0,4013.0,46.0,117.0,0.0020832156619892284,0.0008546251341141738
2020-03-15,29676.0,3878.0,57.0,136.0,0.0016136127231590619,0.0007557057440067253
2020-03-16,32130.0,3691.0,54.0,141.0,0.0017017850734964055,0.0007199049124782088
2020-03-17,40151.0,3649.0,43.0,145.0,0.002105245716954115,0.0006971849890282688
2020-03-18,39896.0,5620.0,48.0,91.0,0.0019553392018014843,0.0010669260701866494
2020-03-19,,,,,,
2020-03-20,,,,,,
