вірус,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-03-05,34.0,7.0,1452.0,1506.5,7.160216154290023e-05,5.159806580964737e-05
2020-03-06,38.0,10.0,1428.5,998.5,7.764228971198797e-05,7.389781410265885e-05
2020-03-07,17.0,6.0,2570.0,1535.0,4.210046657222954e-05,5.034866450167409e-05
2020-03-08,10.0,5.0,4897.0,2111.5,2.2042745291669607e-05,3.693198605448207e-05
2020-03-09,11.0,9.0,4542.5,1031.5,2.4381486029408505e-05,7.241304400299308e-05
2020-03-10,35.0,10.0,1454.0,942.0,7.838833581563063e-05,7.839816861878105e-05
2020-03-11,81.0,25.0,602.5,420.5,0.00012038594843319917,0.00017150305275433902
2020-03-12,86.0,28.0,592.5,377.0,0.00015436807811742745,0.0001999842869488826
2020-03-13,129.0,36.0,454.5,323.5,0.0002122314408540588,0.00024463169339494426
2020-03-14,87.0,28.0,644.0,381.0,0.00015432044018575213,0.0002067168201046873
2020-03-15,99.0,35.0,421.5,319.0,0.0001917675544794189,0.0002476123098691192
2020-03-16,195.0,40.0,200.5,286.0,0.0003439966411815138,0.0002693747811329904
2020-03-17,167.0,48.0,267.5,260.0,0.0002673022163675389,0.00030055226478654533
2020-03-18,148.0,36.0,275.5,327.0,0.0002927145716478248,0.00023698398383242597
2020-03-19,,,,,,
2020-03-20,,,,,,
