ویروس,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-03-01,5302.0,1358.0,57.0,112.0,0.0014397655533783169,0.0008502315284383038
2020-03-02,5289.0,1308.0,55.0,111.0,0.0014588895999293862,0.0008428595362983773
2020-03-03,4369.0,1123.0,70.0,135.0,0.0011813053627045484,0.0007074835760491295
2020-03-04,2953.0,825.0,107.0,188.0,0.0008554880004264402,0.0005289488919963301
2020-03-05,3289.0,1016.0,97.0,160.0,0.0009486828624435807,0.0006430713492725572
2020-03-06,3986.0,1153.0,80.0,138.0,0.0010814456644094494,0.0007107434450406687
2020-03-07,5664.0,1214.0,62.0,132.0,0.0014673845037046019,0.0007423047032401539
2020-03-08,4297.0,1095.0,73.0,162.0,0.001124414046043146,0.0006357648192715122
2020-03-09,4300.0,1172.0,71.0,136.0,0.0011945210928812375,0.0007274541958341454
2020-03-10,3318.0,1024.0,93.0,153.0,0.0009692110452669463,0.0006377066474690395
2020-03-11,3271.0,1057.0,87.0,147.0,0.0009703539225763774,0.0006710497579903808
2020-03-12,4294.0,1173.0,70.0,133.0,0.0011828024816264828,0.0007195361108367781
2020-03-13,3895.0,1163.0,81.0,138.0,0.001094222533118141,0.0007203754128376721
2020-03-14,3047.0,945.0,109.0,167.0,0.0008414126343339988,0.0005947196447541322
2020-03-15,3321.0,994.0,95.0,160.0,0.0009337598468645098,0.000617029135072892
2020-03-16,3009.0,952.0,105.0,171.0,0.0008688654246135801,0.0005825662164221255
2020-03-17,3266.0,968.0,90.0,161.0,0.0009629727256993123,0.00060479134698529
2020-03-18,2768.0,871.0,119.0,180.0,0.0008179487747759727,0.000545222821487413
2020-03-19,,,,,,
2020-03-20,,,,,,
