wirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-02-29,178.0,71.0,931.0,958.0,8.865866414304925e-05,8.546576434079413e-05
2020-03-01,111.0,72.0,1638.5,1028.5,5.357101489563787e-05,8.377889353680745e-05
2020-03-02,255.0,100.0,631.5,630.5,0.00013097368404832975,0.00012587847440324166
2020-03-03,131.0,72.0,1302.5,943.5,6.742529560330457e-05,8.76881031601818e-05
2020-03-04,315.0,168.0,493.5,384.5,0.0001591282801263933,0.0002029115390236332
2020-03-05,145.0,72.0,1057.5,838.0,7.928986899673162e-05,9.436917483331387e-05
2020-03-06,100.0,63.0,1721.0,1074.0,5.1614155285315305e-05,7.544819822517095e-05
2020-03-07,103.0,52.0,1759.5,1361.0,5.063990650791629e-05,6.045253371681941e-05
2020-03-08,148.0,88.0,1296.0,863.0,6.998585623675648e-05,9.637298095867024e-05
2020-03-09,351.0,198.0,452.0,342.5,0.00017429630968531323,0.0002367987676896453
2020-03-10,539.0,255.0,322.0,279.0,0.00025178291734653503,0.0002866273181686875
2020-03-11,1313.0,399.0,149.0,196.5,0.0005313227508517149,0.0003975671679267919
2020-03-12,1091.0,401.0,194.0,210.5,0.00040186870790922565,0.0003771224895727041
2020-03-13,1239.0,338.0,178.0,263.5,0.0004449257990170695,0.00030675681807868584
2020-03-14,749.0,299.0,292.0,301.5,0.00027519362755904354,0.00027926960257787324
2020-03-15,672.0,260.0,323.0,337.0,0.00024460664194392404,0.00024343133317042157
2020-03-16,586.0,263.0,339.0,313.0,0.0002399712689688893,0.00025364873219033883
2020-03-17,768.0,264.0,254.0,328.0,0.00031166630278543637,0.00025020139316684833
2020-03-18,751.0,180.0,259.0,480.0,0.00030371314596672183,0.00016919821665079652
2020-03-19,,,,,,
2020-03-20,,,,,,
