virüs,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-02-29,730.0,292.0,2765.0,1513.5,4.079673451759734e-05,6.761957781299761e-05
2020-03-01,795.0,322.0,2127.5,1252.5,5.035110873141426e-05,7.973853684242327e-05
2020-03-02,1366.0,416.0,1198.0,919.0,8.531673400297184e-05,0.00010246189328889378
2020-03-03,1308.0,367.0,1103.0,1107.5,8.721063969804317e-05,8.783693061863766e-05
2020-03-04,1893.0,631.0,812.0,575.5,0.00012049716634331455,0.00015059597581777075
2020-03-05,2200.0,729.0,569.5,455.0,0.00015071472347205072,0.00017842545046919286
2020-03-06,1864.0,733.0,681.5,429.0,0.00013310630044819833,0.0001857808460201206
2020-03-07,2058.0,576.0,574.5,625.0,0.00015021602860498578,0.00014357025832427087
2020-03-08,2215.0,498.0,573.5,823.5,0.00015069409085948833,0.00011724698430397194
2020-03-09,2843.0,850.0,417.0,363.0,0.00020390314951831376,0.00021933389586026623
2020-03-10,10678.0,4027.0,83.0,70.0,0.0007017056415148982,0.0009370040998292127
2020-03-11,17844.0,5020.0,49.0,51.0,0.0011985146317317966,0.0011892316260752535
2020-03-12,15925.0,4889.0,58.0,63.0,0.001034716912823167,0.0010590099675603737
2020-03-13,16681.0,4114.0,53.0,70.0,0.001086630529464813,0.0009231465880039859
2020-03-14,15050.0,3261.0,64.0,96.5,0.000927921407954574,0.000696845497322455
2020-03-15,17027.0,4117.0,58.0,85.0,0.000974919819758642,0.0008055930109669836
2020-03-16,25597.0,6210.0,44.0,58.0,0.0012808570738743338,0.001140536085018976
2020-03-17,22102.0,5829.0,54.0,62.0,0.0011078200860482788,0.0010449672965930552
2020-03-18,19855.0,5758.0,69.0,76.0,0.0008843879754593136,0.0009238356990779292
2020-03-19,,,,,,
2020-03-20,,,,,,
