فيروس,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-02-27,9455.0,1575.0,349.0,727.0,0.00024610855649301533,0.00011228005139931242
2020-02-28,7689.0,1346.0,409.0,838.5,0.00020187016469234374,9.461093712273804e-05
2020-02-29,6816.0,1395.0,521.0,855.0,0.00016429347838532005,9.534930517355078e-05
2020-03-01,7008.0,1316.0,505.0,903.5,0.000169269352030254,8.957619636463584e-05
2020-03-02,10304.0,1725.0,325.0,663.0,0.0002608280470343036,0.00012894739753503408
2020-03-03,9459.0,1688.0,328.0,660.0,0.0002521528492512228,0.00013681152316126691
2020-03-04,8978.0,1688.0,344.0,664.0,0.0002407298753926608,0.00013566388019914944
2020-03-05,10663.0,1958.0,312.0,659.0,0.0002706605465180395,0.00014548114247128768
2020-03-06,10291.0,1756.0,299.0,670.0,0.0002730298894370888,0.00013586131314291858
2020-03-07,8164.0,1461.0,433.0,878.5,0.00019841625718402224,0.00010753698065011513
2020-03-08,18211.0,2716.0,214.0,517.0,0.0004045203746901346,0.00018059586528559147
2020-03-09,19380.0,2503.0,174.0,498.0,0.00046770851594398535,0.00018663528787878
2020-03-10,14145.0,2304.0,232.0,515.0,0.0003569635732111721,0.00017375400505244067
2020-03-11,13715.0,2425.0,251.0,538.0,0.00032741122852690226,0.00016926684978198778
2020-03-12,17461.0,2955.0,181.0,426.0,0.0004282468072117047,0.00021911706279027448
2020-03-13,21571.0,3237.0,156.0,374.0,0.0005155124041781669,0.00024180413222868856
2020-03-14,27666.0,3694.0,123.0,344.0,0.0006276874129388869,0.0002716212420458506
2020-03-15,27637.0,3845.0,128.0,363.0,0.0006062942233961562,0.00026512968220225466
2020-03-16,29339.0,4199.0,119.0,334.0,0.0006513832819691008,0.00028828779841631887
2020-03-17,26250.0,3786.0,138.0,367.0,0.0005647547713226175,0.00025691481543459524
2020-03-18,22006.0,3490.0,159.0,392.0,0.0004927782657689381,0.0002435089174500584
2020-03-19,,,,,,
2020-03-20,,,,,,
