ιός,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-03-05,126.0,24.0,681.0,1139.5,0.00011642164222890161,7.358577341713935e-05
2020-03-06,185.0,31.0,360.0,769.0,0.00018638821945852712,0.00010079661843602666
2020-03-07,133.0,31.0,556.5,705.0,0.00013404177265709092,0.00010865107932580252
2020-03-08,120.0,29.0,769.5,858.0,0.00010582869156933364,9.212022642516344e-05
2020-03-09,266.0,48.0,278.5,489.0,0.0002528240734140279,0.00014638028989396578
2020-03-10,361.0,63.0,206.0,366.0,0.0003456761751553628,0.0001949088569059612
2020-03-11,298.0,54.0,248.5,464.5,0.0002613952541849556,0.0001381703179452538
2020-03-12,305.0,76.0,276.0,314.0,0.00026565676449222974,0.00021927989636139642
2020-03-13,307.0,67.0,282.5,398.0,0.0002660079143853094,0.0001884367344757662
2020-03-14,271.0,74.0,351.0,355.5,0.00022107470040707113,0.0002145250878393265
2020-03-15,345.0,71.0,305.0,405.5,0.00025389489487279496,0.0001901598950103115
2020-03-16,285.0,75.0,333.5,376.0,0.00023589688409185908,0.00020251223173879706
2020-03-17,257.0,80.0,344.0,341.0,0.00022558958320349496,0.00021831439455960528
2020-03-18,238.0,72.0,393.5,389.0,0.00019283121597096192,0.00019553209170455101
2020-03-19,,,,,,
2020-03-20,,,,,,
