virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-02-27,12719.0,3296.0,486.0,538.0,0.00015850433124705958,0.0001597077503225166
2020-02-28,16268.0,4471.0,364.0,375.0,0.000216944250088552,0.0002285447892324785
2020-02-29,12621.0,2970.0,438.0,530.0,0.00018514851321020195,0.00016769172231312268
2020-03-01,9580.0,2156.0,615.0,760.0,0.00012940315160160038,0.00011202473273320083
2020-03-02,10367.0,2216.0,583.0,742.0,0.00013541063284205627,0.00011225810366985214
2020-03-03,14332.0,4132.0,441.0,428.0,0.00018077701801901108,0.0002018051007167158
2020-03-04,13456.0,3118.0,476.0,563.0,0.0001685625928865258,0.00015184093498174086
2020-03-05,10247.0,2406.0,607.0,714.0,0.00012968351501934305,0.00011691486454907576
2020-03-06,12284.0,3277.0,470.0,516.0,0.0001657904296948097,0.00016783931390853204
2020-03-07,12057.0,2770.0,462.0,573.0,0.00016967778235571447,0.0001524992647553499
2020-03-08,9129.0,2465.0,724.0,688.0,0.00011297344523838401,0.00012536152050250798
2020-03-09,18983.0,5072.0,360.0,344.0,0.00023024855697420673,0.00025090815692920085
2020-03-10,42024.0,7725.0,165.0,243.0,0.000468743872164364,0.00035458087507805945
2020-03-11,44335.0,9911.0,151.0,192.0,0.0005110922877389981,0.0004485646474393209
2020-03-12,72841.0,16788.0,114.0,122.0,0.0007595928909129775,0.0007212364436289792
2020-03-13,79406.0,17800.0,101.0,118.0,0.0008420001723318994,0.0007759979136990922
2020-03-14,88642.0,17701.0,96.0,121.0,0.0008913335295617207,0.0007733283714960972
2020-03-15,78893.0,18202.0,117.0,126.0,0.0007514005911580553,0.0007431073547215322
2020-03-16,90024.0,18779.0,103.0,126.5,0.00085391048869833,0.0007295450112256072
2020-03-17,90151.0,18924.0,98.0,129.0,0.0008624349524143041,0.0007122358345178527
2020-03-18,92295.0,18578.0,96.0,135.0,0.0008538130358614612,0.0006699363174648554
2020-03-19,,,,,,
2020-03-20,,,,,,
