virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-02-27,73626.0,18182.0,370.0,430.0,0.00024082405513135323,0.00023121779226888432
2020-02-28,101346.0,21499.0,262.0,341.0,0.0003448225365334418,0.0002813273342657609
2020-02-29,75997.0,16219.0,330.0,437.0,0.00027296722692192964,0.0002272968126397377
2020-03-01,55092.0,12612.0,488.0,559.0,0.00019452500661648785,0.00017450614636051323
2020-03-02,99815.0,16696.0,274.0,458.0,0.0003358436260665016,0.00021666014237955696
2020-03-03,63687.0,15668.0,442.0,500.0,0.00021187822244354918,0.0001980983569215525
2020-03-04,62428.0,15830.0,446.0,502.0,0.0002125760050390606,0.00019715640924848138
2020-03-05,75393.0,18829.0,352.0,414.0,0.00025847216637232785,0.00023524578574397545
2020-03-06,64316.0,18210.0,408.5,423.0,0.0002300204990623685,0.00023666801688304638
2020-03-07,63026.0,16763.0,386.0,424.0,0.00024006901567109862,0.00023791687630285321
2020-03-08,77059.0,16977.0,332.0,432.0,0.00027779776850945647,0.0002313469266902375
2020-03-09,130030.0,30748.0,212.0,244.0,0.0004477836993495872,0.00039949900735254613
2020-03-10,146307.0,32684.0,187.0,245.0,0.0004852600972662137,0.0004036442690121341
2020-03-11,236424.0,50851.0,125.0,172.0,0.0007483909968674501,0.0005943041375353311
2020-03-12,387633.0,79681.0,87.0,125.0,0.0010854851697517033,0.0008917535465420512
2020-03-13,406195.0,71302.0,83.0,131.0,0.001166352391319019,0.0008221901726953368
2020-03-14,328161.0,52234.0,89.0,154.0,0.001047309473003081,0.0006667242586537832
2020-03-15,312812.0,54571.0,99.0,165.0,0.0009259995427845436,0.0006423957586600207
2020-03-16,328642.0,67841.0,97.0,146.0,0.0009386986926409504,0.0007384267812038541
2020-03-17,356571.0,71661.0,94.0,143.0,0.0009671664471319543,0.0007537703823619937
2020-03-18,394395.0,76213.0,87.0,134.0,0.0010937059177406026,0.0007875412468954263
2020-03-19,,,,,,
2020-03-20,,,,,,
